ms;uA
1340.0;14520.000000000002
1350.0;14190.000000000002
1360.0;14210.000000000002
1370.0;14160.000000000002
1380.0;14500.000000000002
1390.0;14490.000000000002
1400.0;14580.000000000002
1410.0;14350.000000000002
1420.0;14470.000000000002
1430.0;14250.000000000002
1440.0;14260.000000000002
1450.0;14080.000000000002
1460.0;14550.000000000002
1470.0;14590.000000000002
1480.0;14630.000000000002
1490.0;14540.000000000002
1500.0;14600.000000000002
1510.0;14420.000000000002
1520.0;14340.000000000002
1530.0;14130.000000000002
1540.0;14320.000000000002
1550.0;14620.000000000002
1560.0;14650.000000000002
1570.0;14580.000000000002
1580.0;14450.000000000002
1590.0;14220.000000000002
1600.0;14310.000000000002
1610.0;14190.000000000002
1620.0;14590.000000000002
1630.0;14590.000000000002
1640.0;14290.000000000002
1650.0;14390.000000000002
1660.0;14090.000000000002
1670.0;14440.000000000002
1680.0;14680.000000000002
1690.0;14580.000000000002
1700.0;14360.000000000002
1710.0;14240.000000000002
1720.0;14310.000000000002
1730.0;14110.000000000002
1740.0;14730.000000000002
1750.0;14610.000000000002
1760.0;14320.000000000002
1770.0;14320.000000000002
1780.0;14290.000000000002
1790.0;14190.000000000002
1800.0;14420.000000000002
1810.0;14590.000000000002
1820.0;13700.000000000002
1830.0;14580.000000000002
1840.0;14710.000000000002
1850.0;14310.000000000002
1860.0;14230.000000000002
1870.0;14360.000000000002
1880.0;14120.000000000002
1890.0;14180.000000000002
1900.0;9555.0
1910.0;14600.000000000002
1920.0;14650.000000000002
1930.0;14340.000000000002
1940.0;14310.000000000002
1950.0;14340.000000000002
1960.0;14210.000000000002
1970.0;14340.000000000002
1980.0;14090.000000000002
1990.0;14570.000000000002
2000.0;14500.000000000002
2010.0;14590.000000000002
2020.0;14320.000000000002
2030.0;8974.0
2040.0;14310.000000000002
2050.0;14220.000000000002
2060.0;14260.000000000002
2070.0;14070.000000000002
2080.0;14460.000000000002
2090.0;14650.000000000002
2100.0;14350.000000000002
2110.0;14400.000000000002
2120.0;14370.000000000002
2130.0;14100.000000000002
2140.0;14370.000000000002
2150.0;14910.000000000002
2160.0;14390.000000000002
2170.0;14260.000000000002
2180.0;14270.000000000002
2190.0;14080.000000000002
2200.0;15060.000000000002
2210.0;14450.000000000002
2220.0;14170.000000000002
2230.0;14160.000000000002
2240.0;14080.000000000002
2250.0;14570.000000000002
2260.0;14550.000000000002
2270.0;14310.000000000002
2280.0;14320.000000000002
2290.0;14080.000000000002
2300.0;14490.000000000002
2310.0;14580.000000000002
2320.0;14620.000000000002
2330.0;14630.000000000002
2340.0;14220.000000000002
2350.0;14320.000000000002
2360.0;14090.000000000002
2370.0;14440.000000000002
2380.0;14100.000000000002
2390.0;14480.000000000002
2400.0;14630.000000000002
2410.0;14520.000000000002
2420.0;14570.000000000002
2430.0;14170.000000000002
2440.0;14260.000000000002
2450.0;14180.000000000002
2460.0;14540.000000000002
2470.0;14590.000000000002
2480.0;14380.000000000002
2490.0;14340.000000000002
