ms;uA
3770.0;14250.000000000002
3780.0;15150.000000000002
3790.0;9505.0
3800.0;15390.000000000002
3810.0;6776.0
3820.0;15250.000000000002
3830.0;6731.0
3840.0;14850.000000000002
3850.0;14950.000000000002
3860.0;15130.000000000002
3870.0;7032.0
3880.0;17200.0
3890.0;6767.0
3900.0;14870.000000000002
3910.0;15540.000000000002
3920.0;15080.000000000002
3930.0;6747.0
3940.0;14950.000000000002
3950.0;6954.0
3960.0;15000.000000000002
3970.0;7102.0
3980.0;14400.000000000002
3990.0;14970.000000000002
4000.0;14750.000000000002
4010.0;14760.000000000002
4020.0;15140.000000000002
4030.0;7079.0
4040.0;15140.000000000002
4050.0;6738.0
4060.0;9713.0
4070.0;15190.000000000002
4080.0;15200.000000000002
4090.0;9414.0
4100.0;17570.0
4110.0;6760.0
4120.0;14870.000000000002
4130.0;9253.0
4140.0;14940.000000000002
4150.0;7093.0
4160.0;15190.000000000002
4170.0;6977.0
4180.0;14990.000000000002
4190.0;7099.0
4200.0;9650.0
4210.0;15060.000000000002
4220.0;14820.000000000002
4230.0;9177.0
4240.0;14820.000000000002
4250.0;6738.0
4260.0;14890.000000000002
4270.0;6939.0
4280.0;14980.000000000002
4290.0;7099.0
4300.0;15180.000000000002
4310.0;7023.0
4320.0;15220.000000000002
4330.0;6796.0
4340.0;14960.000000000002
4350.0;6749.0
4360.0;14880.000000000002
4370.0;6764.0
4380.0;15200.000000000002
4390.0;7068.0
4400.0;15170.000000000002
4410.0;6795.0
4420.0;14850.000000000002
4430.0;6735.0
4440.0;14890.000000000002
4450.0;6994.0
4460.0;15010.000000000002
4470.0;7098.0
4480.0;15190.000000000002
4490.0;14910.000000000002
4500.0;14850.000000000002
4510.0;6737.0
4520.0;14960.000000000002
4530.0;14860.000000000002
4540.0;14940.000000000002
4550.0;6737.0
4560.0;14990.000000000002
4570.0;7094.0
4580.0;15190.000000000002
4590.0;6966.0
4600.0;15160.000000000002
4610.0;6823.0
4620.0;15000.000000000002
4630.0;7261.0
4640.0;15210.000000000002
4650.0;6836.0
4660.0;7102.0
4670.0;14810.000000000002
4680.0;9447.0
4690.0;14870.000000000002
4700.0;6728.0
4710.0;14910.000000000002
4720.0;7247.0
4730.0;15150.000000000002
4740.0;14960.000000000002
4750.0;15040.000000000002
4760.0;15100.000000000002
4770.0;13040.000000000002
4780.0;15120.000000000002
4790.0;14780.000000000002
4800.0;14930.000000000002
4810.0;15300.000000000002
4820.0;6126.0
4830.0;14200.000000000002
4840.0;14250.000000000002
4850.0;14400.000000000002
4860.0;14410.000000000002
4870.0;7038.0
4880.0;14280.000000000002
4890.0;14660.000000000002
4900.0;14520.000000000002
4910.0;15000.000000000002
4920.0;9807.0
4930.0;9800.0
4940.0;7691.0
4950.0;14660.000000000002
4960.0;9090.0
4970.0;6197.0
4980.0;14440.000000000002
4990.0;14650.000000000002
5000.0;14420.000000000002
5010.0;14630.000000000002
5020.0;6167.0
5030.0;6973.0
5040.0;14440.000000000002
5050.0;6693.0
5060.0;14360.000000000002
5070.0;6957.0
5080.0;14270.000000000002
5090.0;11080.0
5100.0;14600.000000000002
5110.0;14600.000000000002
5120.0;14650.000000000002
5130.0;14500.000000000002
5140.0;14240.000000000002
5150.0;14250.000000000002
5160.0;14380.000000000002
5170.0;14740.000000000002
5180.0;14500.000000000002
5190.0;14410.000000000002
5200.0;14320.000000000002
5210.0;14650.000000000002
5220.0;14740.000000000002
5230.0;14550.000000000002
5240.0;14460.000000000002
5250.0;14250.000000000002
5260.0;14400.000000000002
5270.0;14550.000000000002
5280.0;14610.000000000002
5290.0;14650.000000000002
5300.0;14310.000000000002
5310.0;14290.000000000002
5320.0;14300.000000000002
5330.0;14660.000000000002
5340.0;14940.000000000002
5350.0;14830.000000000002
5360.0;14390.000000000002
5370.0;14390.000000000002
5380.0;14280.000000000002
5390.0;14350.000000000002
5400.0;14870.000000000002
5410.0;14960.000000000002
5420.0;14710.000000000002
5430.0;14690.000000000002
5440.0;14480.000000000002
5450.0;14340.000000000002
5460.0;14560.000000000002
5470.0;14860.000000000002
5480.0;14710.000000000002
5490.0;14590.000000000002
5500.0;14400.000000000002
5510.0;14260.000000000002
5520.0;14600.000000000002
5530.0;14480.000000000002
5540.0;14410.000000000002
5550.0;14300.000000000002
5560.0;14320.000000000002
5570.0;14280.000000000002
5580.0;14790.000000000002
5590.0;6202.0
5600.0;14400.000000000002
5610.0;14370.000000000002
5620.0;14640.000000000002
5630.0;14490.000000000002
5640.0;15300.000000000002
5650.0;14650.000000000002
5660.0;9124.0
5670.0;14660.000000000002
5680.0;9005.0
5690.0;14610.000000000002
5700.0;14460.000000000002
5710.0;14260.000000000002
5720.0;11030.0
5730.0;14640.000000000002
5740.0;9059.0
5750.0;14560.000000000002
5760.0;8956.0
5770.0;14210.000000000002
5780.0;14340.000000000002
5790.0;7524.0
5800.0;15720.000000000002
5810.0;14590.000000000002
5820.0;14280.000000000002
5830.0;14520.000000000002
5840.0;14600.000000000002
5850.0;6470.0
5860.0;14610.000000000002
5870.0;6170.0
5880.0;13900.000000000002
5890.0;6356.0
5900.0;11060.0
