ms;uA
1100.0;14270.000000000002
1110.0;14220.000000000002
1120.0;13160.000000000002
1130.0;6126.0
1140.0;6970.0
1150.0;14360.000000000002
1160.0;6584.0
1170.0;14600.000000000002
1180.0;6477.0
1190.0;14110.000000000002
1200.0;14190.000000000002
1210.0;14120.000000000002
1220.0;14290.000000000002
1230.0;14690.000000000002
1240.0;14170.000000000002
1250.0;14220.000000000002
1260.0;8883.0
1270.0;14720.000000000002
1280.0;14660.000000000002
1290.0;14250.000000000002
1300.0;14240.000000000002
1310.0;6653.0
1320.0;8174.0
1330.0;14350.000000000002
1340.0;8594.0
1350.0;14190.000000000002
1360.0;6154.0
1370.0;6239.0
1380.0;14450.000000000002
1390.0;6111.0
1400.0;14560.000000000002
1410.0;6809.0
1420.0;14390.000000000002
1430.0;14560.000000000002
1440.0;14250.000000000002
1450.0;14120.000000000002
1460.0;6126.0
1470.0;14350.000000000002
1480.0;14060.000000000002
1490.0;14580.000000000002
1500.0;14300.000000000002
1510.0;6177.0
1520.0;6297.0
1530.0;14550.000000000002
1540.0;14320.000000000002
1550.0;14270.000000000002
1560.0;14510.000000000002
1570.0;6072.0
1580.0;14570.000000000002
1590.0;12450.000000000002
1600.0;8747.0
1610.0;14600.000000000002
1620.0;6913.0
1630.0;14340.000000000002
1640.0;14110.000000000002
1650.0;14400.000000000002
1660.0;14610.000000000002
1670.0;14460.000000000002
1680.0;14410.000000000002
1690.0;14260.000000000002
1700.0;14220.000000000002
1710.0;14260.000000000002
1720.0;14570.000000000002
1730.0;14510.000000000002
1740.0;14260.000000000002
1750.0;14200.000000000002
1760.0;14380.000000000002
1770.0;14350.000000000002
1780.0;6673.0
1790.0;6610.0
1800.0;14560.000000000002
1810.0;14540.000000000002
1820.0;14600.000000000002
1830.0;14650.000000000002
1840.0;6196.0
1850.0;6083.0
1860.0;14130.000000000002
1870.0;6209.0
1880.0;14470.000000000002
1890.0;6654.0
1900.0;14610.000000000002
1910.0;14370.000000000002
1920.0;14120.000000000002
1930.0;9112.0
1940.0;6051.0
1950.0;9023.0
1960.0;14470.000000000002
1970.0;6231.0
1980.0;14190.000000000002
1990.0;8769.0
2000.0;7255.0
2010.0;14570.000000000002
2020.0;14490.000000000002
2030.0;14330.000000000002
2040.0;14450.000000000002
2050.0;6402.0
2060.0;14530.000000000002
2070.0;14200.000000000002
2080.0;14530.000000000002
2090.0;14250.000000000002
2100.0;6996.0
2110.0;14190.000000000002
2120.0;14170.000000000002
2130.0;14600.000000000002
2140.0;14310.000000000002
2150.0;9711.0
2160.0;14560.000000000002
2170.0;8989.0
2180.0;14620.000000000002
2190.0;8606.0
2200.0;15400.000000000002
2210.0;14260.000000000002
2220.0;14510.000000000002
2230.0;14560.000000000002
2240.0;14620.000000000002
2250.0;6599.0
2260.0;6226.0
2270.0;11280.000000000002
2280.0;6169.0
2290.0;14230.000000000002
2300.0;8477.0
2310.0;16000.000000000002
2320.0;14290.000000000002
2330.0;14430.000000000002
2340.0;14470.000000000002
2350.0;14190.000000000002
2360.0;15280.000000000002
2370.0;14590.000000000002
2380.0;14370.000000000002
2390.0;14260.000000000002
2400.0;14360.000000000002
2410.0;6502.0
2420.0;14590.000000000002
2430.0;14190.000000000002
2440.0;14150.000000000002
2450.0;14560.000000000002
2460.0;15470.000000000002
2470.0;14370.000000000002
2480.0;14340.000000000002
2490.0;14490.000000000002
2500.0;14310.000000000002
2510.0;6518.0
2520.0;10300.0
2530.0;14610.000000000002
2540.0;14180.000000000002
2550.0;14210.000000000002
2560.0;6491.0
2570.0;6617.0
2580.0;14510.000000000002
2590.0;6980.0
2600.0;14400.000000000002
2610.0;6679.0
2620.0;14240.000000000002
2630.0;6672.0
2640.0;14580.000000000002
2650.0;6999.0
